pair_index,pair_t0_ns,pair_t1_ns,gt_t0_ns,gt_t1_ns,gt_tx,gt_ty,gt_tz,gt_rot_err_rad_ref0,ceres_tx,ceres_ty,ceres_tz,ceres_t_err_m,ceres_r_err_rad,gpu_tx,gpu_ty,gpu_tz,gpu_t_err_m,gpu_r_err_rad,gpu_available
51,1771545059724634872,1771545059824695416,1771545059725283448,1771545059825328792,-6.05162e-05,-1.50439e-06,1.95422e-05,0,0.00293572,0.00376439,-0.00974234,0.0108836,0.0160838,0.00293916,0.00379147,-0.00974973,0.0109006,0.0160912,1
52,1771545059824695416,1771545059924219288,1771545059825328792,1771545059925315768,5.437e-06,2.43e-05,-7.70936e-05,0,-0.0195783,-0.0137266,-0.0400302,0.046571,0.0214959,-0.0195782,-0.0137263,-0.0400303,0.046571,0.021507,1
53,1771545059924219288,1771545060024172664,1771545059925315768,1771545060026419032,-2.4206e-05,-1.14809e-05,5.58584e-06,0,0.0162424,-0.0111654,-0.00275488,0.0199156,0.0172497,0.016243,-0.011156,-0.00275796,0.0199113,0.0172567,1
54,1771545060024172664,1771545060125185656,1771545060026419032,1771545060124172152,2.62256e-05,2.42186e-05,-8.36083e-06,0,0.0306489,0.00745342,-0.0223616,0.0386343,0.0232747,0.030646,0.00746192,-0.0223624,0.0386341,0.0232798,1
55,1771545060125185656,1771545060224041112,1771545060124172152,1771545060222724888,-7.0802e-06,-3.9847e-05,8.62939e-05,0,0.0107825,0.00803247,0.00669942,0.0150104,0.0112517,0.0107467,0.00820449,0.0067509,0.0151007,0.0113677,1
56,1771545060224041112,1771545060324262104,1771545060222724888,1771545060325563608,-9.01258e-06,5.82342e-05,-6.47417e-05,0,-0.0092659,0.00929179,0.0381804,0.0404183,0.0370053,-0.00926265,0.00929713,0.0381777,0.0404163,0.0370118,1
57,1771545060324262104,1771545060424763768,1771545060325563608,1771545060425809368,-4.03098e-07,-5.03349e-06,-1.19797e-05,0,0.00468867,-0.0276752,-0.0264832,0.0385791,0.0251839,0.00469276,-0.0276884,-0.0264804,0.0385871,0.0251886,1
58,1771545060424763768,1771545060524932856,1771545060425809368,1771545060525708600,3.39883e-05,2.33201e-06,-1.91094e-06,0,-0.00622148,-0.0483817,0.00112373,0.0487997,0.00271864,-0.00617565,-0.0484214,0.00111465,0.048833,0.00280496,1
59,1771545060524932856,1771545060624491672,1771545060525708600,1771545060625237272,3.01842e-06,-9.63452e-05,4.00068e-05,0,0.00608497,-0.0606442,-0.0345223,0.0699828,0.030467,0.00610861,-0.0606949,-0.0345169,0.070026,0.0305061,1
60,1771545060624491672,1771545060724335480,1771545060625237272,1771545060725418168,7.20262e-06,2.67596e-05,6.53934e-06,0,0.0010241,-0.0159384,-0.00677427,0.0173753,0.012285,0.00102479,-0.0159429,-0.00677304,0.0173789,0.012285,1
61,1771545060724335480,1771545060824525208,1771545060725418168,1771545060825478008,-9.17269e-06,-1.19345e-05,-1.42666e-05,0,0.023003,-0.0353202,0.00901118,0.0431009,0.0108307,0.0230032,-0.0353162,0.00900966,0.0430975,0.0108307,1
62,1771545060824525208,1771545060924431800,1771545060825478008,1771545060926529432,8.87718e-06,2.19485e-05,-4.59577e-05,0,-0.0182249,-0.0184894,0.0108595,0.0281792,0.0152702,-0.0182238,-0.0184799,0.0108556,0.0281708,0.0152702,1
63,1771545060924431800,1771545061023492632,1771545060926529432,1771545061021701720,-2.89882e-05,3.26444e-05,2.16702e-05,0,-0.0242531,-0.0504539,0.0190371,0.0591379,0.0109293,-0.0242559,-0.0504364,0.0190327,0.0591226,0.0109402,1
64,1771545061023492632,1771545061124319576,1771545061021701720,1771545061125325624,2.8221e-05,-5.67564e-05,0.000123683,0,0.01988,-0.00551951,-0.0191093,0.0281753,0.0158147,0.0198713,-0.00549498,-0.0191115,0.0281658,0.0158373,1
65,1771545061124319576,1771545061223148312,1771545061125325624,1771545061221704536,-2.29313e-05,-1.37522e-05,-0.00010147,0,-0.0410504,-0.0358522,-0.0263336,0.0604629,0.0169359,-0.0410255,-0.0358263,-0.0263517,0.0604386,0.016971,1
66,1771545061223148312,1771545061324576664,1771545061221704536,1771545061325429752,1.32602e-05,6.72296e-05,1.20572e-05,0,-0.0223751,-0.033864,-0.00915565,0.0416727,0.0151526,-0.0224263,-0.0337468,-0.00914423,0.0416024,0.0153014,1
67,1771545061324576664,1771545061424612696,1771545061325429752,1771545061423638040,5.28468e-05,-3.69361e-05,5.43672e-07,0,-0.0059569,-0.030442,-0.0266664,0.0408866,0.0184841,-0.00596209,-0.030474,-0.0266519,0.0409017,0.0185099,1
68,1771545061424612696,1771545061524539000,1771545061423638040,1771545061526225048,-8.91707e-05,-4.37349e-05,-4.09685e-05,0,0.0107856,-0.0179479,-0.0182852,0.0277789,0.0237463,0.0108034,-0.0179376,-0.0182935,0.0277848,0.0237614,1
69,1771545061524539000,1771545061624122584,1771545061526225048,1771545061626472824,-4.97591e-05,7.36166e-05,3.77449e-05,0,-0.0148493,-0.0390728,-0.000902579,0.0418611,0.0162681,-0.0148505,-0.0390631,-0.000904687,0.0418525,0.0162754,1
70,1771545061624122584,1771545061724085784,1771545061626472824,1771545061722595320,0.000139583,-2.85142e-05,-1.19098e-05,0,-0.0223727,-0.0265602,-0.0102735,0.0362771,0.0090563,-0.0224982,-0.0264362,-0.0102125,0.0362476,0.00918699,1
71,1771545061724085784,1771545061824495096,1771545061722595320,1771545061825570168,-5.81585e-05,-3.97836e-05,-5.43589e-05,0,0.0581573,-0.0556165,-0.00974896,0.0810666,0.00888353,0.0581606,-0.0556203,-0.00974902,0.0810716,0.00888353,1
72,1771545061824495096,1771545061924030744,1771545061825570168,1771545061925187960,2.3921e-05,6.63245e-06,6.2428e-05,0,-0.0224265,-0.0185986,-0.0333626,0.0443554,0.0271169,-0.0223586,-0.0184112,-0.0334443,0.0443046,0.0273359,1
73,1771545061924030744,1771545062023952408,1771545061925187960,1771545062025721848,-8.575e-06,6.64002e-06,-2.18739e-05,0,-0.0354987,-0.0391549,-0.012988,0.0544178,0.0129832,-0.0354966,-0.0391579,-0.0129877,0.0544185,0.0130016,1
74,1771545062023952408,1771545062124081816,1771545062025721848,1771545062125394264,1.4451e-05,5.80118e-05,4.86448e-05,0,-0.0393615,-0.0518541,-0.0275491,0.07076,0.0196411,-0.0393699,-0.0518786,-0.0275359,0.0707774,0.0196533,1
75,1771545062124081816,1771545062224190136,1771545062125394264,1771545062226234968,-5.2116e-05,-4.88228e-05,-4.49083e-05,0,0.00143585,-0.0128989,-0.0103231,0.0165221,0.0208997,0.00143299,-0.0128904,-0.0103246,0.0165162,0.0209111,1
